licensePlate,chassis,registrationNumber,model,brand,year
ZZZ5N75,1HGCM82633A100065,10000000065,Model65,Brand65,2020
ZZZ6O76,1HGCM82633A100066,10000000066,Model66,Brand66,2021
ZZZ7P77,1HGCM82633A100067,10000000067,Model67,Brand67,2022
ZZZ8Q78,1HGCM82633A100068,10000000068,Model68,Brand68,2023
ZZZ9R79,1HGCM82633A100069,10000000069,Model69,Brand69,2024
ZZZ0S80,1HGCM82633A100070,10000000070,Model70,Brand70,2015
ZZZ1T81,1HGCM82633A100071,10000000071,Model71,Brand71,2016
ZZZ2U82,1HGCM82633A100072,10000000072,Model72,Brand72,2017
ZZZ3V83,1HGCM82633A100073,10000000073,Model73,Brand73,2018
ZZZ4W84,1HGCM82633A100074,10000000074,Model74,Brand74,2019
ZZZ5X85,1HGCM82633A100075,10000000075,Model75,Brand75,2020
ZZZ6Y86,1HGCM82633A100076,10000000076,Model76,Brand76,2021
ZZZ7Z87,1HGCM82633A100077,10000000077,Model77,Brand77,2022
ZZZ8A88,1HGCM82633A100078,10000000078,Model78,Brand78,2023
ZZZ9B89,1HGCM82633A100079,10000000079,Model79,Brand79,2024
ZZZ0C90,1HGCM82633A100080,10000000080,Model80,Brand80,2015
ZZZ1D91,1HGCM82633A100081,10000000081,Model81,Brand81,2016
ZZZ2E92,1HGCM82633A100082,10000000082,Model82,Brand82,2017
ZZZ3F93,1HGCM82633A100083,10000000083,Model83,Brand83,2018
ZZZ4G94,1HGCM82633A100084,10000000084,Model84,Brand84,2019
ZZZ5H95,1HGCM82633A100085,10000000085,Model85,Brand85,2020
ZZZ6I96,1HGCM82633A100086,10000000086,Model86,Brand86,2021
ZZZ7J97,1HGCM82633A100087,10000000087,Model87,Brand87,2022
ZZZ8K98,1HGCM82633A100088,10000000088,Model88,Brand88,2023
ZZZ9L10,1HGCM82633A100089,10000000089,Model89,Brand89,2024
ZZZ0M11,1HGCM82633A100090,10000000090,Model90,Brand90,2015
ZZZ1N12,1HGCM82633A100091,10000000091,Model91,Brand91,2016
ZZZ2O13,1HGCM82633A100092,10000000092,Model92,Brand92,2017
ZZZ3P14,1HGCM82633A100093,10000000093,Model93,Brand93,2018
ZZZ4Q15,1HGCM82633A100094,10000000094,Model94,Brand94,2019
ZZZ5R16,1HGCM82633A100095,10000000095,Model95,Brand95,2020
ZZZ6S17,1HGCM82633A100096,10000000096,Model96,Brand96,2021
ZZZ7T18,1HGCM82633A100097,10000000097,Model97,Brand97,2022
ZZZ8U19,1HGCM82633A100098,10000000098,Model98,Brand98,2023
ZZZ9V20,1HGCM82633A100099,10000000099,Model99,Brand99,2024
ZZZ0W21,1HGCM82633A100100,10000000100,Model100,Brand100,2015
